UID,Time,EventName,Target,Info,State,Version,article,username
Windows-Chrome-548402558572186,1744302412284,mousedown,div#student-splash,"{""which"":1,""pageX"":192,""pageY"":413}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302655277,mousedown,div#user-profile,"{""which"":1,""pageX"":1886,""pageY"":33}",,Computer,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302656125,mousedown,li#logout,"{""which"":1,""pageX"":1729,""pageY"":173}",,Computer,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302892334,mousedown,div#student-splash,"{""which"":1,""pageX"":263,""pageY"":421}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302892789,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302892933,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302893197,keydown,body.student-facing.student-robot-facing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302898998,mousedown,button#student-login,"{""which"":1,""pageX"":961,""pageY"":294}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302900688,mousedown,li.active,"{""which"":1,""pageX"":1124,""pageY"":261}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302900774,mousedown,li.active,"{""which"":1,""pageX"":1124,""pageY"":261}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302956644,mousedown,div#splash,"{""which"":1,""pageX"":222,""pageY"":493}",,Computer,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302956694,mousedown,div#splash,"{""which"":1,""pageX"":222,""pageY"":493}",,Computer,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302957754,mousedown,div#student-splash,"{""which"":1,""pageX"":203,""pageY"":269}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302958239,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302958436,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744302958774,keydown,body.student-facing.student-robot-facing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303052448,mousedown,div#student-splash,"{""which"":1,""pageX"":483,""pageY"":676}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303053068,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303053205,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303053363,keydown,body.student-facing.student-robot-facing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303094863,mousedown,div#student-splash,"{""which"":1,""pageX"":270,""pageY"":582}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303095412,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303095564,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303095772,keydown,body.student-facing.student-robot-facing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303366184,mousedown,div#student-splash,"{""which"":1,""pageX"":494,""pageY"":639}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303369915,mousedown,div#user-profile,"{""which"":1,""pageX"":1873,""pageY"":25}",,Computer,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303370709,mousedown,"div#user-profile-menu ul","{""which"":1,""pageX"":1748,""pageY"":155}",,Computer,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303372304,mousedown,div#user-profile,"{""which"":1,""pageX"":1886,""pageY"":35}",,Computer,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303373101,mousedown,li#logout,"{""which"":1,""pageX"":1750,""pageY"":169}",,Computer,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303378118,mousedown,button#student-login,"{""which"":1,""pageX"":953,""pageY"":298}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303409381,mousedown,div#student-splash,"{""which"":1,""pageX"":240,""pageY"":323}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303409861,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303410059,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303410320,keydown,body.student-facing.student-robot-facing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303523309,mousedown,button#start-assignment,"{""which"":1,""pageX"":743,""pageY"":532}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303546880,mousedown,div.container,"{""which"":1,""pageX"":58,""pageY"":342}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303547691,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303547757,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303548476,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303548595,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303548643,keydown,body.student-facing.student-robot-facing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303584615,mousedown,div#student-splash,"{""which"":1,""pageX"":232,""pageY"":250}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303585019,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303585211,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303585395,keydown,body.student-facing.student-robot-facing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303669912,mousedown,button#start-assignment,"{""which"":1,""pageX"":650,""pageY"":552}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303687643,mousedown,"div#c5.cp p","{""which"":1,""pageX"":945,""pageY"":288}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303707713,mousedown,"div#c1.cp p","{""which"":1,""pageX"":1272,""pageY"":466}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303735469,mousedown,"div#c2.cp p","{""which"":1,""pageX"":1390,""pageY"":441}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303816468,mousedown,div.container,"{""which"":1,""pageX"":97,""pageY"":274}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303816923,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303817123,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303817323,keydown,body.student-facing.student-robot-facing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303843413,mousedown,div#student-splash,"{""which"":1,""pageX"":302,""pageY"":627}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303848890,mousedown,button#start-assignment,"{""which"":1,""pageX"":694,""pageY"":548}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303866040,mousedown,"div#c1.cp p","{""which"":1,""pageX"":1274,""pageY"":257}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744303915865,mousedown,"div#c2.cp p","{""which"":1,""pageX"":1376,""pageY"":347}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305277051,mousedown,div.container,"{""which"":1,""pageX"":7,""pageY"":457}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305278821,mousedown,div.container,"{""which"":1,""pageX"":53,""pageY"":478}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305304714,mousedown,div.container,"{""which"":1,""pageX"":113,""pageY"":179}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305304731,mousedown,div.container,"{""which"":1,""pageX"":113,""pageY"":179}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305305512,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305305840,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305310376,mousedown,div#user-profile,"{""which"":1,""pageX"":1892,""pageY"":24}",,Computer,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305311060,mousedown,li#logout,"{""which"":1,""pageX"":1728,""pageY"":161}",,Computer,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305313082,mousedown,div#splash,"{""which"":1,""pageX"":132,""pageY"":206}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305313529,keydown,body.student-facing.student-robot-facing.logged-out,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305313673,keydown,body.student-facing.student-robot-facing.logged-out,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305313824,keydown,body.student-facing.student-robot-facing.logged-out,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305315260,mousedown,button#student-login,"{""which"":1,""pageX"":867,""pageY"":293}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305347734,mousedown,button#start-assignment,"{""which"":1,""pageX"":701,""pageY"":536}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305364122,mousedown,"div#c1.cp p","{""which"":1,""pageX"":1249,""pageY"":767}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305613011,mousedown,"div#c2.cp p","{""which"":1,""pageX"":1396,""pageY"":244}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305655974,mousedown,"div#c5.cp p","{""which"":1,""pageX"":950,""pageY"":489}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305815275,mousedown,div#viewer.pdfViewer,"{""which"":1,""pageX"":416,""pageY"":266}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305816111,keydown,div#viewerContainer,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305816215,keydown,div#viewerContainer,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305816239,keydown,div#viewerContainer,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305848274,mousedown,button#start-assignment,"{""which"":1,""pageX"":706,""pageY"":554}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305864193,mousedown,"div#c1.cp p","{""which"":1,""pageX"":1261,""pageY"":367}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305894483,mousedown,"div#c2.cp p","{""which"":1,""pageX"":1367,""pageY"":441}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305942637,mousedown,"div#c5.cp p","{""which"":1,""pageX"":957,""pageY"":499}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306067307,mousedown,div.container,"{""which"":1,""pageX"":55,""pageY"":248}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306067942,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306068071,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306068142,keydown,body.student-facing.student-robot-facing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306086818,mousedown,div#student-splash,"{""which"":1,""pageX"":116,""pageY"":272}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306087183,keydown,body.student-facing.student-robot-facing.audio-playing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306087391,keydown,body.student-facing.student-robot-facing.audio-playing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306087504,keydown,body.student-facing.student-robot-facing.audio-playing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306118130,mousedown,button#start-assignment,"{""which"":1,""pageX"":661,""pageY"":531}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306137407,mousedown,"div#c1.cp p","{""which"":1,""pageX"":1265,""pageY"":360}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306168761,mousedown,"div#c2.cp p","{""which"":1,""pageX"":1394,""pageY"":449}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306213332,mousedown,"div#c5.cp p","{""which"":1,""pageX"":942,""pageY"":488}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306238004,mousedown,"div#c3.cp p","{""which"":1,""pageX"":1337,""pageY"":590}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306262717,mousedown,"div#c4.cp p","{""which"":1,""pageX"":1127,""pageY"":234}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306289911,mousedown,"div#c6.cp p","{""which"":1,""pageX"":1001,""pageY"":442}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306301317,mousedown,"div#c7.cp p","{""which"":1,""pageX"":899,""pageY"":355}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306301398,mousedown,"div#c7.cp.focused p","{""which"":1,""pageX"":899,""pageY"":355}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306316179,mousedown,"div#c8.cp p","{""which"":1,""pageX"":1243,""pageY"":527}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306330161,mousedown,"div#c9.cp p","{""which"":1,""pageX"":883,""pageY"":560}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306330274,mousedown,"div#c9.cp.focused p","{""which"":1,""pageX"":883,""pageY"":560}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306343316,mousedown,"div#c10.cp p","{""which"":1,""pageX"":942,""pageY"":449}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306376000,mousedown,"div#c15.cp p","{""which"":1,""pageX"":939,""pageY"":495}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306376009,mousedown,"div#c15.cp.focused p","{""which"":1,""pageX"":939,""pageY"":495}",,Robot,"Meet the Microbes",student-5
